0:0:0:0:0:0:0:1 - - [11/Dec/2016:22:15:40 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:22:17:05 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4215
0:0:0:0:0:0:0:1 - - [11/Dec/2016:22:17:05 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:22:17:35 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4207
0:0:0:0:0:0:0:1 - - [11/Dec/2016:22:17:35 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:09:51 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4241
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:09:52 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:13:30 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4448
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:13:30 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:14:41 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:14:41 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:16:04 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5188
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:16:04 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:18:41 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:18:41 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:20:51 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4917
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:20:51 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:22:38 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4965
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:22:38 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:23:16 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:23:16 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:24:16 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4963
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:24:16 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:25:58 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:25:58 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:29:49 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:29:49 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:30:56 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 4952
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:30:56 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:33:46 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5046
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:33:46 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:35:40 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5079
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:35:40 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:37:13 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:37:13 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:44:22 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:44:22 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:45:18 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:45:18 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:45:47 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5398
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:45:47 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:47:10 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:47:10 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:47:33 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5398
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:47:33 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:51:52 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5400
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:51:52 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:31 +0100] "GET /GUITesting/HelloFile.html HTTP/1.1" 200 5400
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:31 +0100] "GET /GUITesting/js/fabric.js HTTP/1.1" 304 -
